,저수량(현재),전일방류량(본댐),당일유입량,홍수기,sin_day_of_week,cos_day_of_week,sin_month,cos_month,sin_week_of_year,cos_week_of_year,기온(°C),강수량(mm),지면온도(°C),습도(%),1일후강수량,2일후강수량
2001-04-25,275.8333333333333,24.7,2.7999999999999994,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,11.575,0.0949131513647642,20.23958333333333,60.66666666666666,0.065136476426799,0.0353598014888337
2001-04-26,273.96250000000003,24.899999999999995,1.1,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,12.595833333333331,0.065136476426799,21.70208333333333,51.5,0.0353598014888337,0.173697270471464
2001-04-27,272.18333333333334,24.600000000000005,2.4,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,13.45,0.0353598014888337,22.87291666666667,47.29166666666666,0.173697270471464,0.5260416666666666
2001-04-28,269.97083333333336,24.399999999999995,2.5,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,12.808333333333332,0.173697270471464,18.6875,73.04166666666667,0.5260416666666666,1.2989075203252032
2001-04-29,268.2083333333333,24.3,1.8,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,13.441666666666668,0.5260416666666666,15.58125,94.0,1.2989075203252032,0.2012195121951219
2001-04-30,266.45,25.0,9.0,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,14.0125,1.2989075203252032,16.625,77.04166666666667,0.2012195121951219,0.0050813008130081
2001-05-01,265.5833333333333,23.5,6.3,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,12.029166666666669,0.2012195121951219,17.222916666666666,71.95833333333333,0.0050813008130081,0.0
2001-05-02,264.0708333333333,20.7,2.7999999999999994,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,13.9375,0.0050813008130081,22.260416666666668,66.41666666666667,0.0,0.0
2001-05-03,262.4916666666667,20.1,5.400000000000001,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,12.65,0.0,20.65,70.58333333333333,0.0,0.0
2001-05-04,260.77500000000003,21.2,0.4000000000000001,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,13.425,0.0,20.84375,72.875,0.0,0.0
2001-05-05,259.50416666666666,21.8,2.2,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,13.1625,0.0,18.477083333333336,75.16666666666667,0.0,1.6770833333333333
2001-05-06,257.8916666666667,20.7,1.8,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,15.379166666666668,0.0,21.48125,77.91666666666667,1.6770833333333333,0.6041666666666666
2001-05-07,255.90833333333333,21.7,7.900000000000001,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,15.670833333333334,1.6770833333333333,19.089583333333334,95.54166666666669,0.6041666666666666,0.0
2001-05-08,254.82083333333333,20.6,0.0,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,17.591666666666665,0.6041666666666666,23.308333333333334,85.125,0.0,0.0
2001-05-09,253.54166666666663,19.7,2.7000000000000006,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,17.845833333333335,0.0,25.72083333333333,62.41666666666666,0.0,0.0
2001-05-10,252.03333333333333,19.6,3.0,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,16.033333333333335,0.0,25.241666666666664,49.333333333333336,0.0,0.0
2001-05-11,250.6875,20.0,0.0,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,15.691666666666668,0.0,26.460416666666664,52.083333333333336,0.0,0.0
2001-05-12,249.3333333333333,15.300000000000002,1.1,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,16.079166666666666,0.0,26.933333333333334,58.75,0.0,0.0
2001-05-13,248.38333333333333,16.5,0.1,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,17.170833333333334,0.0,27.95833333333333,53.91666666666666,0.0,0.0
2001-05-14,247.09583333333333,12.6,0.0,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,17.658333333333335,0.0,25.64375,61.79166666666666,0.0,0.0
2001-05-15,245.6,17.0,0.3,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,18.48333333333333,0.0,26.085416666666664,71.125,0.0,0.0
2001-05-16,244.0458333333333,18.3,0.0,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,17.650000000000002,0.0,26.56458333333333,49.125,0.0,0.0
2001-05-17,242.4416666666667,17.9,0.1,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,18.8125,0.0,28.7,47.75,0.0,0.0
2001-05-18,241.1708333333333,15.199999999999998,0.0,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,17.375,0.0,26.0375,71.29166666666667,0.0,0.0
2001-05-19,239.53333333333333,15.0,0.0,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,19.779166666666665,0.0,30.402083333333334,71.25,0.0,0.1666666666666666
2001-05-20,238.07916666666665,16.1,1.3,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,19.995833333333334,0.0,28.135416666666668,72.375,0.1666666666666666,0.6875
2001-05-21,237.1125,16.3,0.0,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,17.754166666666666,0.1666666666666666,21.760416666666668,82.41666666666667,0.6875,0.4792877906976744
2001-05-22,235.8708333333333,17.0,0.0,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,15.266666666666666,0.6875,17.733333333333334,90.375,0.4792877906976744,0.4113372093023256
2001-05-23,235.2625,15.699999999999998,9.9,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,15.991666666666667,0.4792877906976744,17.4875,89.04166666666667,0.4113372093023256,0.3415697674418604
2001-05-24,234.50833333333333,15.300000000000002,0.0,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,19.566666666666663,0.4113372093023256,27.175,72.5,0.3415697674418604,0.2718023255813953
2001-05-25,233.29704142011835,15.440532544378698,0.0,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,18.975,0.3415697674418604,26.15625,81.54166666666667,0.2718023255813953,0.2020348837209302
2001-05-26,232.3313609467456,15.7103550295858,0.0,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,18.9375,0.2718023255813953,23.9125,85.0,0.2020348837209302,0.1322674418604651
2001-05-27,231.3656804733728,15.9801775147929,0.0,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,20.3625,0.2020348837209302,29.88958333333333,61.66666666666666,0.1322674418604651,0.0625
2001-05-28,230.4,16.25,0.0,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,19.304166666666667,0.1322674418604651,29.2125,53.083333333333336,0.0625,0.0471172480620155
2001-05-29,229.4343195266272,16.5198224852071,0.0,0.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0.120536680255323,0.992708874098054,20.39583333333333,0.0625,29.125,51.0,0.0471172480620155,0.0
